seasondoubleyear,Team_Name,Team_ID,season,SeasonStartYear,SeasonEndYear,coach,school,coachtenure,totalgames,totalwins,totallosses,seasonwinpercentage,ncaavisits,ncaavisit,regseasonchamp,ncaachamp
1984-1985,Akron,1103,1984-85,1984,1985,"Bob Huggins",Akron,0,26,12,14,0.4615,0,0,0,0
1985-1986,Akron,1103,1985-86,1985,1986,"Bob Huggins",Akron,1,30,22,8,0.7333,0,1,1,1
1986-1987,Akron,1103,1986-87,1986,1987,"Bob Huggins",Akron,2,30,21,9,0.7000,1,0,0,0
1987-1988,Akron,1103,1987-88,1987,1988,"Bob Huggins",Akron,3,28,21,7,0.7500,1,0,0,0
1988-1989,Akron,1103,1988-89,1988,1989,"Bob Huggins",Akron,4,29,21,8,0.7241,1,0,0,0
1980-1981,Akron,1103,1980-81,1980,1981,"Bob Rupert",Akron,0,26,8,18,0.3077,0,0,0,0
1981-1982,Akron,1103,1981-82,1981,1982,"Bob Rupert",Akron,1,26,7,19,0.2692,0,0,0,0
1982-1983,Akron,1103,1982-83,1982,1983,"Bob Rupert",Akron,2,29,14,15,0.4828,0,0,0,0
1983-1984,Akron,1103,1983-84,1983,1984,"Bob Rupert",Akron,3,27,8,19,0.2963,0,0,0,0
2009-2010,Alabama,1104,2009-10,2009,2010,"Anthony Grant",Alabama,3,32,17,15,0.5313,2,0,0,0
2010-2011,Alabama,1104,2010-11,2010,2011,"Anthony Grant",Alabama,4,37,25,12,0.6757,2,0,1,0
2011-2012,Alabama,1104,2011-12,2011,2012,"Anthony Grant",Alabama,5,33,21,12,0.6364,2,1,0,0
2012-2013,Alabama,1104,2012-13,2012,2013,"Anthony Grant",Alabama,6,36,23,13,0.6389,3,0,0,0
2013-2014,Alabama,1104,2013-14,2013,2014,"Anthony Grant",Alabama,7,32,13,19,0.4063,3,0,0,0
2014-2015,Alabama,1104,2014-15,2014,2015,"Anthony Grant",Alabama,8,32,18,14,0.5625,3,0,0,0
1997-1998,"American Univ",1110,1997-98,1997,1998,"Art Perry",American,1,28,9,19,0.3214,0,0,0,0
1998-1999,"American Univ",1110,1998-99,1998,1999,"Art Perry",American,2,28,7,21,0.2500,0,0,0,0
1999-1900,"American Univ",1110,1999-00,1999,1900,"Art Perry",American,3,29,11,18,0.3793,0,0,0,0
1975-1976,"Appalachian St",1111,1975-76,1975,1976,"Bobby Cremins","Appalachian State",0,27,13,14,0.4815,0,0,0,0
1976-1977,"Appalachian St",1111,1976-77,1976,1977,"Bobby Cremins","Appalachian State",1,29,17,12,0.5862,0,0,0,0
1977-1978,"Appalachian St",1111,1977-78,1977,1978,"Bobby Cremins","Appalachian State",2,28,15,13,0.5357,0,0,1,0
1978-1979,"Appalachian St",1111,1978-79,1978,1979,"Bobby Cremins","Appalachian State",3,29,23,6,0.7931,0,1,1,1
1979-1980,"Appalachian St",1111,1979-80,1979,1980,"Bobby Cremins","Appalachian State",4,28,12,16,0.4286,1,0,0,0
1980-1981,"Appalachian St",1111,1980-81,1980,1981,"Bobby Cremins","Appalachian State",5,29,20,9,0.6897,1,0,1,0
1982-1983,Arizona,1112,1982-83,1982,1983,"Ben Lindsey",Arizona,0,28,4,24,0.1429,0,0,0,0
1989-1990,"Arizona St",1113,1989-90,1989,1990,"Bill Frieder","Arizona State",9,31,15,16,0.4839,4,0,0,0
1990-1991,"Arizona St",1113,1990-91,1990,1991,"Bill Frieder","Arizona State",10,30,20,10,0.6667,4,1,0,0
1991-1992,"Arizona St",1113,1991-92,1991,1992,"Bill Frieder","Arizona State",11,33,19,14,0.5758,5,0,0,0
1992-1993,"Arizona St",1113,1992-93,1992,1993,"Bill Frieder","Arizona State",12,28,18,10,0.6429,5,0,0,0
1993-1994,"Arizona St",1113,1993-94,1993,1994,"Bill Frieder","Arizona State",13,28,15,13,0.5357,5,0,0,0
1994-1995,"Arizona St",1113,1994-95,1994,1995,"Bill Frieder","Arizona State",14,33,24,9,0.7273,5,1,0,0
1995-1996,"Arizona St",1113,1995-96,1995,1996,"Bill Frieder","Arizona State",15,27,11,16,0.4074,6,0,0,0
1996-1997,"Arizona St",1113,1996-97,1996,1997,"Bill Frieder","Arizona State",16,30,10,20,0.3333,6,0,0,0
1988-1989,"Arizona St",1113,1988-89,1988,1989,"Bob Schermerhorn","Arizona State",0,9,2,7,0.2222,0,0,0,0
1982-1983,"Arizona St",1113,1982-83,1982,1983,"Bob Weinhauer","Arizona State",5,33,19,14,0.5758,4,0,0,0
1983-1984,"Arizona St",1113,1983-84,1983,1984,"Bob Weinhauer","Arizona State",6,28,13,15,0.4643,4,0,0,0
1984-1985,"Arizona St",1113,1984-85,1984,1985,"Bob Weinhauer","Arizona State",7,28,12,16,0.4286,4,0,0,0
2015-2016,"Arizona St",1113,2015-16,2015,2016,"Bobby Hurley","Arizona State",2,27,14,13,0.5185,1,0,0,0
2007-2008,"Arkansas St",1117,2007-08,2007,2008,"Al Grushkin","Arkansas State",0,4,1,3,0.2500,0,0,0,0
1965-1966,Army,1119,1965-66,1965,1966,"Bob Knight",Army,0,26,18,8,0.6923,0,0,0,0
1966-1967,Army,1119,1966-67,1966,1967,"Bob Knight",Army,1,21,13,8,0.6190,0,0,0,0
1967-1968,Army,1119,1967-68,1967,1968,"Bob Knight",Army,2,25,20,5,0.8000,0,0,0,0
1968-1969,Army,1119,1968-69,1968,1969,"Bob Knight",Army,3,28,18,10,0.6429,0,0,0,0
1969-1970,Army,1119,1969-70,1969,1970,"Bob Knight",Army,4,28,22,6,0.7857,0,0,0,0
1970-1971,Army,1119,1970-71,1970,1971,"Bob Knight",Army,5,24,11,13,0.4583,0,0,0,0
2014-2015,Auburn,1120,2014-15,2014,2015,"Bruce Pearl",Auburn,13,35,15,20,0.4286,8,0,0,0
2015-2016,Auburn,1120,2015-16,2015,2016,"Bruce Pearl",Auburn,14,26,10,16,0.3846,8,0,0,0
1982-1983,"Ball St",1123,1982-83,1982,1983,"Al Brown","Ball State",0,29,17,12,0.5862,0,0,0,0
1983-1984,"Ball St",1123,1983-84,1983,1984,"Al Brown","Ball State",1,27,8,19,0.2963,0,0,0,0
1984-1985,"Ball St",1123,1984-85,1984,1985,"Al Brown","Ball State",2,29,13,16,0.4483,0,0,0,0
1985-1986,"Ball St",1123,1985-86,1985,1986,"Al Brown","Ball State",3,31,21,10,0.6774,0,1,0,1
1986-1987,"Ball St",1123,1986-87,1986,1987,"Al Brown","Ball State",4,27,9,18,0.3333,1,0,0,0
2007-2008,"Ball St",1123,2007-08,2007,2008,"Billy Taylor","Ball State",5,30,6,24,0.2000,1,0,0,0
2008-2009,"Ball St",1123,2008-09,2008,2009,"Billy Taylor","Ball State",6,31,14,17,0.4516,1,0,1,0
2009-2010,"Ball St",1123,2009-10,2009,2010,"Billy Taylor","Ball State",7,30,15,15,0.5000,1,0,0,0
2010-2011,"Ball St",1123,2010-11,2010,2011,"Billy Taylor","Ball State",8,32,19,13,0.5938,1,0,0,0
2011-2012,"Ball St",1123,2011-12,2011,2012,"Billy Taylor","Ball State",9,30,15,15,0.5000,1,0,0,0
2012-2013,"Ball St",1123,2012-13,2012,2013,"Billy Taylor","Ball State",10,30,15,15,0.5000,1,0,0,0
2001-2002,Binghamton,1127,2001-02,2001,2002,"Al Walker",Binghamton,8,28,9,19,0.3214,0,0,0,0
2002-2003,Binghamton,1127,2002-03,2002,2003,"Al Walker",Binghamton,9,27,14,13,0.5185,0,1,0,0
2003-2004,Binghamton,1127,2003-04,2003,2004,"Al Walker",Binghamton,10,30,14,16,0.4667,1,0,0,0
2004-2005,Binghamton,1127,2004-05,2004,2005,"Al Walker",Binghamton,11,29,12,17,0.4138,1,0,0,0
2005-2006,Binghamton,1127,2005-06,2005,2006,"Al Walker",Binghamton,12,29,16,13,0.5517,1,0,0,0
2006-2007,Binghamton,1127,2006-07,2006,2007,"Al Walker",Binghamton,13,29,13,16,0.4483,1,0,0,0
1983-1984,"Boise St",1129,1983-84,1983,1984,"Bobby Dye","Boise State",9,28,15,13,0.5357,1,0,0,0
1984-1985,"Boise St",1129,1984-85,1984,1985,"Bobby Dye","Boise State",10,29,16,13,0.5517,1,0,0,0
